회사 이름,분야,회사 소개,로봇 분류,로봇 이름,로봇 설명,부스위치,사이트,열2
로보케어,"가정용 로봇, 휴머노이드","로보케어는 2012년 10월에 KIST 1호 기술 출자회사로 설립되었습니다.
세계 최초로 인간과 상호작용이 가능한 단체용 치매예방로봇 “실벗”을 개발하였으며, 이후 경기도 수원시와 로봇보급시범사업을 성공적으로 수행하면서 전국 보건소 및 치매안심센터에 제품 공급 및 본격적인 사업화를 추진하여 
현재는 지역 거점별 치매예방로봇이 설치되어서 운영중입니다. 또한 사회적 약자 지원사업의 일환으로경도인지장애와 독거노인의 돌봄, 인지훈련이 가능한 가정용 로봇의 개발을 추진하고 있습니다.
항상 개척자의 정신으로 미래산업에 도전하고 있는 로보케어는 사회적 약자의 생활에 도움이 되고 모든 인류가 바라는 휴머노이드 로봇 기업으로 성장하기 위해 노력하고 있습니다.",-,-,-,A01,http://www.robocare.co.kr/,
로보케어,-,-,인지훈련 로봇,실벗(Silbot),"고령자 및 치매의 위험이 있는 어르신들을 대상으로, 로봇을 이용한 두뇌 향상 컨텐츠를 제공하여 뇌 기능 활성화와 치매 예방에 도움을 주는 인지훈련 시스템 입니다.",-,http://www.robocare.co.kr/pages/product03.php,
로보케어,-,-,가정용 로봇,보미Ⅰ,고령자 및 치매의 위험이 있는 어르신들을 대상으로 로봇을 이용한 두뇌 향상 컨텐츠를 제공하여 뇌기능 활성화와 치매 예방에 도움을 주는 일대일 탁상형 인지훈련 로봇 입니다.,-,http://www.robocare.co.kr/pages/product07.php,
로보케어,-,-,가정용 로봇,보미Ⅱ,"고령자 및 치매위험이 있는 어르신들을 위해 치매예방을 위한 각종 서비스와 기능을 제공하는 ""데일리 케어 로봇"" 입니다.
로봇에 탑재된 다양한 두뇌향상 콘텐츠를 통해 인지훈련이 가능하며, 응급 콜 서비스 및 복약알림기능을 제공합니다.",-,http://www.robocare.co.kr/pages/product07-2.php,
티라로보틱스,자율주행 로봇(AMR),"티라로보틱스는 자율주행 물류로봇 전문 기업입니다.
로봇 제작에 필요한 소프트웨어, 기구, 전장 설계에 관한 모든 기술들은 100% 자체 개발하여 직접 생산합니다.",-,-,-,A04,https://www.thirarobotics.com/,
티라로보틱스,-,-,자율주행 로봇(AMR),T200,T200은 최대 200kg(441lbs)까지 적재할 수 있으며 시설 내부의 좁은 공간에서도 이동할 수 있도록 최소한의 크기로 설계되었습니다.,-,-,
티라로보틱스,-,-,자율주행 로봇(AMR),T300,"T300은 최대 300 kg(661 lbs)까지 적재할 수 있습니다. 미끄러운 바닥이나, 고르지 않고 갈라진 바닥에서 안정적인 주행이 가능하며 엘리베이터를 탑승하여 층간 이동도 주행할 수 있습니다.",-,-,
티라로보틱스,-,-,자율주행 로봇(AMR),T600,"T600은 최대 600kg(661파운드)까지 적재할 수 있습니다. 로봇 상부에 리프트, 컨베이어 등을 설치하여 고객 요구사항에 최적화된 커스터마이징 기술을 지원합니다.",-,-,
티라로보틱스,-,-,자율주행 로봇(AMR),T1000,"T1000은 최대 1,000kg(2,205파운드)까지 적재할 수 있습니다. 이 모델은 팔레트 운반에 적합한 크기로 설계되었습니다. 상부에 리프트와 컨베이어를 설치하여 공장 자동화에 적합합니다.",-,-,
티라로보틱스,-,-,자율주행 로봇(AMR),T1000F,"T1000F는 거친 건설 현장에서 사용하도록 설계되었습니다. T1000F 모델은 외부 온도, 진동 및 먼지를 견딜 수 있는 견고한 바디로 제작되었습니다. T1000F는 자동차 부품, 건설 자재와 같이 무거운 물건 인양이 필요한 현장에서 AI 기능을 활용해 작업자를 따라다니며 제품을 운반합니다.",-,-,
티라로보틱스,-,-,자율주행 로봇(AMR),L200,L200은 최대 200 kg(441 lbs)의 화물을 운반할 수 있습니다. 이 모델은 지상고가 170 mm(6.7 in)으로 낮게 제작되어 기존에 사용하던 낮은 높이의 대차를 교체없이 사용할 수 있습니다. 또한 교통량이 많아 복잡하고 좁은 통로를 원활하게 통과할 수 있습니다.,-,-,
에이딘로보틱스,"로봇 센서, 로봇 손","현재의 기술적 한계로 사람-산업/협동로봇 간에 발생하는 사고를 예방하고 작업성을 더욱 높이기 위해
1995년부터 축적한 Field Sensing 기술에 기반하여 새로운 센서기술들을 연구 개발하고 있습니다.",-,-,-,A06,https://www.aidinrobotics.co.kr/,
에이딘로보틱스,-,-,센서,Miniature 6-axis force/torque sensor,"- Very small 6-axis F/T sensor, 15mm
- All-in one sensor (no amplifier)
- Customizable for use
- Applications: surgical forceps, gripper end tip, haptic devices",-,-,
에이딘로보틱스,-,-,센서,Smart 6-axis Force / Torque Sensor,"All-in-one sensor (No additional amplifier)
Digital output communications (C-CAN, E-EtherCAT)
Inertial measurement unit (IMU) integrated
Collaborative robot, industry application, automation",-,-,
에이딘로보틱스,-,-,센서,Ultra Thin Torque Sensor,"Features
- Diameter: 100~128 mm
- Resolution: 0.15 Nm (dependent on size and range)
- Hollow design
- Thickness: >13 mm
- Communication: CAN, RS-485 and EtherCAT(coming soon)",-,-,
에이딘로보틱스,-,-,Robot hand,Robotic Hand,-,-,-,
에이딘로보틱스,-,-,Gripper,Smart Gripper,-,-,-,
파워오토메이션,스마트팩토리,"Power Automation Co., Ltd. is a company with high-quality, reliable automation technology
that contributes to the deployment of customer's smart factories (DXs) based on its rich experience and infrastructure.",-,-,-,A07,http://powerautomation.co.kr/,
파워오토메이션,-,-,공장 자동화,"i-Series
(Hybrid Component Assembly Robot Machine)", i-Series is the only one in Korea for integration of various process in the odd-form component assembly production. i-Series is able to replace the process from manual assembly to robotic assembly. The machine produces over 300 kinds of components and serve high reliability and high accuracy.,-,-,
파워오토메이션,-,-,공장 자동화,Feeder Solution,"The Feeders are manufactured according to the shape and packaging method of the components supplied by the customer to maximize the performance of the supply method.
Suction Nozzle and Gripper Nozzle can be customized according to the characteristics of odd-shaped components and picked up without limitation of component type.",-,-,
레인보우로보틱스,"협동로봇, 사족보행 로봇, 이족보행 로봇(휴머노이드), 천문 마운트","Robotics for society
사람과 로봇이 공존하는 사회,
레인보우로보틱스가이끌어갑니다",-,-,-,A08,https://www.rainbow-robotics.com/?_l=ko,
레인보우로보틱스,-,-,협동로봇,RB SERIES ,기존 생산라인의 작업 플로우에 방해하지 않고 작업자와 함께 협력하여 원하는 작업들을 안전하게 수행할 수 있는 협업로봇입니다.,-,-,
레인보우로보틱스,-,-,사족보행 로봇,RBQ SERIES,"RBQ 시리즈는 다양한 임무 수행이 가능한 사족보행 로봇입니다.
라이다, 카메라 등 다양한 센서를 탑재하여 방범순찰, 군용 등 다양한 분야에 활용될 수 있습니다.",-,-,
레인보우로보틱스,-,-,이족보행 로봇,HUBO2 ,"레인보우로보틱스가 세계 최초로 상업화한 인간형 로봇 플랫폼 HUBO2는 연구용 플랫폼으로 세계 유수의 연구기관(MIT, Google 등)에 판매되었습니다.
HUBO2는 6축 자유도를 갖는 경량의 로봇팔로 컴팩트하면서 민첩하게 움직일 수 있으며 다양한 모션이 가능합니다.",-,-,
레인보우로보틱스,-,-,천문 마운트,Astro ,"천문 마운트는 지상에서 지구 밖의 우주 물체, 즉 행성, 항성, 인공위성을 관측하기 위한 초정밀 지향 장치입니다.
레인보우로보틱스는 휴머노이드 로봇 기술을 기반으로 천문 마운트를 개발했으며, 일반적인 마운트와 달리 무게추를 사용하지 않아 휴대성이 뛰어난 점이 특징입니다.",-,-,
포도씨,"협동로봇, 키오스크, 자율주행 로봇(AMR)",우리는 IoT를 통해 연결된 스마트 장비들로부터 세상에 도움을 주는 빅데이터를 만들어 갑니다.,-,-,-,A13,https://www.podosee.com/,
포도씨,-,-,협동로봇,-,"포도씨는 JAKA 로보틱스의 한국총판으로서, 사람의 팔로 하기 힘든 일들을 협동로봇으로 해결하기 위해 노력하고 있습니다.",-,-,
포도씨,-,-,키오스크,-,열화상카메라 키오스크부터 스마트 자동판매기까지 포도씨는 IoT 기반의 스마트 키오스크를 다년간 개발해 오고 있습니다.,-,-,
포도씨,-,-,자율주행 로봇(AMR),-,"더욱 빠르고 정확한 물류의 이동이 가능하도록 하기 위해 포도씨는 자율 이송로봇을 끊임없이 연구, 개발하고 있습니다.",-,-,
HD 현대로보틱스,"산업용 로봇, 서비스 로봇, 로봇 관리 시스템, 스마트팩토리","HD현대로보틱스는 국내 최대의 로봇 메이커입니다.
로봇 및 공장자동화, 엔지니어링, 설치/시운전, A/S의 전 분야에 대한 사업을 수행하고 있습니다. 특히 첨단 로봇 기술을 활용한 
스마트 공장 구축 사업과 식음료 배송 및 방역 등 모바일서비스 로봇 사업을 신규로 추진하여 토탈 로봇솔루션을 제공하고 있습니다.",-,-,-,B01,https://www.hyundai-robotics.com/,
HD 현대로보틱스,-,-,매니퓰레이터,-,-,-,-,
HD 현대로보틱스,-,-,로봇 제어기,-,-,-,-,
HD 현대로보틱스,-,-,방역 로봇,HYUNDAI D1,"공기청정, 살균, 방역을 수행하는 자율주행 서비스로봇",-,-,
